coso	publisher	site	channel	origen
es_intxt_wemass_biwenger_html5#es002790	prisa	biwenger		smartclip
es_intxt_wemass_meristation_html5#es002790	prisa	meristation		smartclip
es_intxt_wemass_strambotic_html5#es002790	prisa	huffingtonpost_strambotic		smartclip
es_intxt_wemass-abc_amp#es002790	vocento	abc	amp	smartclip
es_intxt_wemass-abc_html5#es002790	vocento	abc		smartclip
es_intxt_wemass-abcsevilla_amp#es002790	vocento	abcsevilla	amp	smartclip
es_intxt_wemass-abcsevilla_html5#es002790	vocento	abcsevilla		smartclip
es_intxt_wemass-as_amp#es002790	prisa	as	amp	smartclip
es_intxt_wemass-as_html5#es002790	prisa	as		smartclip
es_intxt_wemass-as-ejerciciosencasa_amp#es002790	prisa	as_ejerciciosencasa	amp	smartclip
es_intxt_wemass-as-ejerciciosencasa_html5#es002790	prisa	as_ejerciciosencasa		smartclip
es_intxt_wemass-as-esports_amp#es002790	prisa	as_esports	amp	smartclip
es_intxt_wemass-as-esports_html5#es002790	prisa	as_esports		smartclip
es_intxt_wemass-as-futbol_amp#es002790	prisa	as_futbol	amp	smartclip
es_intxt_wemass-as-futbol_html5#es002790	prisa	as_futbol		smartclip
es_intxt_wemass-as-motor_amp#es002790	prisa	as_motor	amp	smartclip
es_intxt_wemass-as-motor_html5#es002790	prisa	as_motor		smartclip
es_intxt_wemass-as-tikitakas_amp#es002790	prisa	as_tikitakas	amp	smartclip
es_intxt_wemass-as-tikitakas_html5#es002790	prisa	as_tikitakas		smartclip
es_intxt_wemass-biwenger_amp#es002790	prisa	biwenger	amp	smartclip
es_intxt_wemass-biwenger_html5#es002790	prisa	biwenger		smartclip
es_intxt_wemass-buenavida_html5#es002790	prisa	elpais_buenavida		smartclip
es_intxt_wemass-burgosconecta_amp#es002790	vocento	burgosconecta	amp	smartclip
es_intxt_wemass-burgosconecta_html5#es002790	vocento	burgosconecta		smartclip
es_intxt_wemass-cadenaser_amp#es002790	prisa	cadenaser	amp	smartclip
es_intxt_wemass-cadenaser_html5#es002790	prisa	cadenaser		smartclip
es_intxt_wemass-canarias7_amp#es002790	canarias7	canarias7	amp	smartclip
es_intxt_wemass-canarias7_html5#es002790	canarias7	canarias7		smartclip
es_intxt_wemass-diariomontañes_html5#es002790	vocento	eldiariomontanes		smartclip
es_intxt_wemass-diariomontanes_amp#es002790	vocento	eldiariomontanes	amp	smartclip
es_intxt_wemass-diariosur_amp#es002790	vocento	diariosur	amp	smartclip
es_intxt_wemass-diariosur_html5#es002790	vocento	diariosur		smartclip
es_intxt_wemass-diariovasco_amp#es002790	vocento	diariovasco	amp	smartclip
es_intxt_wemass-diariovasco_html5#es002790	vocento	diariovasco		smartclip
es_intxt_wemass-elbierzonoticias_amp#es002790	vocento	elbierzonoticias	amp	smartclip
es_intxt_wemass-elbierzonoticias_html5#es002790	vocento	elbierzonoticias		smartclip
